RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,Marital Status,Income,Education Level,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
181,28716334,850,Melborne,Female,45,2,122311.21,Divorced,25723.98,Masters,1,1,1,19482.5,0
182,28789669,510,Perth,Male,65,2,0,Divorced,29021.86,Bachelors,2,1,1,48071.61,0
183,28621075,778,Brisbane,Female,45,1,162150.42,Married,98660.19,Bachelors,2,1,0,174531.27,0
184,28810845,636,Perth,Male,42,2,0,Married,48162.18,Masters,2,1,1,55470.78,0
185,28719377,804,Perth,Female,50,4,0,Single,40016.46,Masters,1,1,1,8546.87,1
186,28654506,514,Perth,Male,32,8,0,Married,32430.52,Bachelors,2,1,0,95857.18,0
187,28771977,730,Perth,Female,39,1,99010.67,Single,45808.44,Bachelors,1,1,0,194945.8,0
188,28708710,525,Melborne,Female,37,0,0,Married,64550.19,Bachelors,1,0,1,131521.72,0
189,28726676,616,Melborne,Male,30,5,0,Married,5513.94,Masters,2,0,1,196108.51,0
190,28587421,687,Brisbane,Female,34,7,111388.18,Married,86244.09,Masters,2,1,0,148564.76,0
191,28726931,715,Perth,Female,41,8,56214.85,Single,8541.5,Bachelors,2,0,0,92982.61,1
192,28771086,512,Perth,Female,36,3,84327.77,Single,49979.95,Bachelors,2,1,0,17675.36,0
193,28756850,479,Perth,Male,40,1,0,Single,61187.37,Diploma,2,0,0,114996.43,0
194,28702741,601,Perth,Male,32,8,93012.89,Married,48908.27,Bachelors,1,1,0,86957.42,0
195,28679200,580,Melborne,Male,29,9,61710.44,Single,48787.36,Diploma,2,1,0,128077.8,0
196,28594828,807,Perth,Male,35,3,174790.15,Divorced,94336.58,Bachelors,1,1,1,600.36,0
197,28635905,616,Melborne,Female,32,6,0,Married,93292.65,Bachelors,2,1,1,43001.46,0
198,28777892,721,Brisbane,Male,37,3,107720.64,Single,89824.54,Bachelors,1,1,1,158591.12,0
199,28656176,501,Perth,Male,57,10,0,Married,8376.58,Masters,2,1,1,47847.19,0
200,28811127,521,Perth,Male,35,6,96423.84,Married,91297.37,Bachelors,1,1,0,10488.44,0
201,28604482,850,Melborne,Male,30,2,141040.01,Married,42631.5,Bachelors,1,1,1,5978.2,0
202,28622911,759,Perth,Male,42,4,105420.18,Single,6982.67,Bachelors,1,0,1,121409.06,0
203,28600974,516,Melborne,Male,50,5,0,Single,36817.5,Bachelors,1,0,1,146145.93,1
204,28727868,711,Perth,Female,38,2,129022.06,Married,52297.44,Masters,2,1,1,14374.86,1
205,28627801,512,Melborne,Male,33,3,176666.62,Married,98880.64,Bachelors,1,1,0,94670.77,0
206,28773039,550,Perth,Male,37,3,0,Divorced,90614.12,Bachelors,1,1,1,179670.31,0
207,28755262,608,Melborne,Female,41,3,89763.84,Divorced,57619.46,Bachelors,1,0,0,199304.74,1
208,28679531,618,Perth,Male,34,5,134954.53,Married,93085.39,Masters,1,1,1,151954.39,0
209,28684181,643,Perth,Male,45,5,0,Married,77743.44,Bachelors,1,1,0,142513.5,1
210,28612087,671,Perth,Male,45,2,106376.85,Single,59190.89,Bachelors,1,0,1,158264.62,0
211,28752047,689,Brisbane,Male,33,2,161814.64,Married,58809.83,Masters,2,1,0,169381.9,0
212,28624592,603,Perth,Male,31,8,0,Divorced,58622.14,Bachelors,2,1,1,169915.02,0
213,28573282,620,Perth,Female,41,9,0,Single,54767.66,Bachelors,2,0,0,88852.47,0
214,28594917,676,Perth,Female,34,1,63095.01,Single,25708.49,Bachelors,1,1,1,40645.81,0
215,28785542,572,Brisbane,Male,26,4,118287.01,Single,82675.69,Bachelors,2,0,0,60427.3,0
216,28723488,668,Brisbane,Male,47,7,106854.21,Divorced,75521.66,Diploma,1,0,1,157959.02,1
217,28680920,695,Perth,Male,46,7,49512.55,Divorced,27952.22,Bachelors,1,1,0,133007.34,0
218,28786308,730,Melborne,Female,33,9,0,Divorced,48359.49,Bachelors,2,0,0,176576.62,0
219,28659366,807,Perth,Male,43,1,105799.32,Divorced,83809.23,Bachelors,2,1,0,34888.04,1
220,28774854,592,Perth,Male,54,8,0,Married,31634.61,Diploma,1,1,1,28737.71,1
221,28725311,726,Perth,Female,31,9,114722.05,Single,94267.5,Masters,2,1,1,98178.57,0
222,28787285,514,Melborne,Male,30,7,0,Divorced,22570.02,Diploma,1,0,1,125010.24,0
223,28727829,567,Perth,Male,42,2,0,Single,93622.34,Masters,2,1,1,167984.61,0
224,28733247,850,Perth,Male,33,10,0,Single,5190.61,Masters,1,1,0,4861.72,1
225,28568748,671,Brisbane,Male,45,6,99564.22,Married,82070.58,Masters,1,1,1,108872.45,1
226,28699029,670,Perth,Male,37,4,170557.91,Divorced,58052.31,Bachelors,2,1,0,198252.88,0
227,28774393,694,Perth,Female,30,9,0,Divorced,84613.89,Diploma,2,1,1,26960.31,0
228,28676895,547,Brisbane,Female,39,6,74596.15,Single,26438.28,Diploma,3,1,1,85746.52,1
229,28637753,751,Brisbane,Male,50,2,96888.39,Divorced,84331.24,Diploma,1,1,0,77206.25,1
230,28605461,594,Brisbane,Female,29,3,130830.22,Divorced,66961.08,Bachelors,1,1,0,61048.53,0
231,28808473,673,Perth,Male,72,1,0,Single,91713.02,Bachelors,2,0,1,111981.19,0
232,28627000,610,Perth,Male,40,0,0,Married,44627.9,Diploma,2,1,0,62232.6,0
233,28787174,512,Perth,Female,37,1,0,Single,78142.86,Diploma,2,0,1,156105.03,0
234,28723886,767,Brisbane,Male,20,3,119714.25,Divorced,60497.23,Masters,2,0,1,150135.38,0
235,28704769,,Perth,Female,67,5,113978.97,Married,90140.56,Bachelors,2,0,1,93146.11,0
236,28772896,763,Brisbane,Male,42,6,100160.75,Single,97532.29,Diploma,1,1,0,33462.94,1
237,28712840,712,Perth,Female,29,2,0,Single,70099.64,Diploma,1,1,1,144375,0
238,28764866,,Brisbane,Female,43,3,116220.5,Married,73874.65,Bachelors,3,1,0,55803.96,1
239,28794056,668,Perth,Female,46,2,0,Divorced,83179.1,Bachelors,3,1,0,89048.46,1
240,28795149,703,Perth,Male,28,2,81173.83,Single,69065.04,Bachelors,2,0,1,162812.16,0
241,28812009,662,Melborne,Male,38,4,0,Divorced,5883.68,Bachelors,2,1,0,136259.65,0
242,28651001,725,Brisbane,Female,39,5,116803.8,Married,25753.76,Masters,1,1,0,124052.97,0
243,28813844,703,Perth,Male,37,8,105961.68,Married,55012.71,Masters,2,0,1,74158.8,0
244,28596175,659,Brisbane,Male,67,6,117411.6,Divorced,17100.99,Masters,1,1,1,45071.09,1
245,28576269,523,Melborne,Male,34,7,0,Divorced,26906.24,Bachelors,2,1,0,62030.06,0
246,28797219,635,Perth,Female,40,10,123497.58,Single,92916.62,Bachelors,1,1,0,131953.23,1
247,28685500,772,Brisbane,Male,26,7,152400.51,Divorced,82424.3,Bachelors,2,1,0,79414,0
248,28599792,545,Perth,Female,26,1,0,Single,6652.26,Masters,2,1,1,199638.56,0
249,28657566,634,Brisbane,Male,,8,103097.85,Married,71665.21,Bachelors,1,1,1,157577.29,0
250,28772423,739,Brisbane,Male,54,8,126418.14,Married,58892.49,Masters,1,1,0,134420.75,1
251,28628112,771,Brisbane,Female,36,5,77846.9,Divorced,62883.83,Bachelors,1,0,0,99805.99,0
252,28753754,587,Melborne,Female,34,1,0,Married,93827.17,Diploma,2,1,1,97932.68,0
253,28793726,681,Perth,Female,79,0,0,Divorced,78788.73,Diploma,2,0,1,170968.99,0
254,28694717,544,Brisbane,Male,37,2,79731.91,Single,46672.69,Bachelors,1,1,1,57558.95,0
255,28665834,696,Melborne,Male,,8,0,Married,58038.35,Bachelors,1,0,0,176713.47,0
256,28765297,766,Melborne,Male,41,0,0,Single,15324.59,Masters,2,0,1,34283.23,0
257,28636684,727,Perth,Male,34,10,0,Divorced,57224.7,Bachelors,2,1,1,198637.34,0
258,28592979,671,Brisbane,Female,34,6,37266.67,Divorced,93287.5,Diploma,2,0,0,156917.12,0
259,28750803,693,Perth,Female,30,6,127992.25,Divorced,25398.99,Bachelors,1,1,1,50457.2,0
260,28607178,850,Brisbane,Male,38,3,54901.01,Divorced,86346.34,Masters,1,1,1,140075.55,0
261,28713853,732,Brisbane,Male,42,9,108748.08,Divorced,53129.33,Masters,2,1,1,65323.11,0
262,28673481,726,Melborne,Female,,6,99906.19,Married,68989.4,Diploma,1,1,0,64323.24,0
263,28686776,557,Perth,Female,32,6,184686.41,Single,52678.08,Bachelors,2,1,0,14956.44,0
264,28673693,682,Perth,Female,26,0,110654.02,Divorced,73771.11,Bachelors,1,0,1,111879.21,0
265,28700696,738,Melborne,Male,31,9,79019.8,Divorced,36830.06,Bachelors,1,1,1,18606.23,0
266,28813163,531,Melborne,Female,36,9,99240.51,Divorced,23666.18,Bachelors,1,1,0,123137.01,0
267,28653857,498,Perth,Male,34,2,0,Single,62219.76,Bachelors,2,1,1,148528.24,0
268,28777076,651,Perth,Male,36,7,0,Divorced,22306.57,Diploma,2,1,0,13898.31,0
269,28717398,549,Melborne,Female,39,7,0,Married,85410.68,Masters,1,0,0,81259.25,1
270,28799217,791,Brisbane,Female,35,7,52436.2,Married,85855.72,Masters,1,1,0,161051.75,0
271,28787071,650,Melborne,Male,41,9,0,Single,24075.31,Bachelors,2,0,1,191599.67,0
272,28619955,733,Brisbane,Male,34,3,100337.96,Divorced,75142.1,Diploma,3,1,0,48559.19,1
273,28796505,811,Brisbane,Female,,1,149297.19,Married,8650.23,Masters,2,1,1,186339.74,0
274,28725166,707,Perth,Male,30,8,0,Divorced,35486.64,Masters,2,1,0,33159.37,0
